"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"14" "Titans D/ST" "1.72-13.94" 19.94 2.3 1.1 0.84 0 0.14 "#28" 13.94 1.72 6.11 37.3321 5 0 333.688 4 0 7.02
"13" "Browns D/ST" "1.21-14.67" 21.67 2.1 1.16 0.76 0 0.18 "#14" 14.67 1.21 6.73 45.2929 5 0 342.684 4 0 7.02
"4" "Lions D/ST" "1.94-12.68" 22.93 2.41 1.07 0.63 0 0.2 "#25" 12.68 1.94 5.37 28.8369 5 0 349.236 4 0 7.01
"2" "Cardinals D/ST" "1.86-13.04" 22.9 2.2 1.12 0.66 0.02 0.2 "#2" 13.04 1.86 5.59 31.2481 5 0 349.08 4 0 7
"2" "Ravens D/ST" "2.66-14.68" 18.21 2.36 1.04 0.68 0.06 0.18 "#16" 14.68 2.66 6.01 36.1201 5 0 324.692 4 0 7
"9" "49ers D/ST" "0.54-15.10" 25.16 2.26 1.43 0.9 0.02 0.17 "#21" 15.1 0.54 7.28 52.9984 5 0 360.832 5 -1 6.98
"1" "Lions D/ST" "2.34-14.12" 20.43 2.3 1.16 0.74 0.02 0.14 "#29" 14.12 2.34 5.89 34.6921 5 0 336.236 4 0 6.98
"2" "Titans D/ST" "2.19-12.69" 22.53 2.68 0.88 0.7 0.02 0.18 "#14" 12.69 2.19 5.25 27.5625 5 0 347.156 4 0 6.96
"3" "Rams D/ST" "-0.99-16.57" 25.75 2.44 1.4 0.7 0 0.22 "#4" 16.57 -0.99 8.78 77.0884 5 0 363.9 5 -1 6.96
"4" "Texans D/ST" "2.11-12.63" 22.54 2.45 0.81 0.85 0.02 0.19 "#9" 12.63 2.11 5.26 27.6676 5 0 347.208 4 0 6.95
"13" "Redskins D/ST" "2.88-13.70" 23.68 2.22 1.18 0.66 0 0.34 "#19" 13.7 2.88 5.41 29.2681 5 0 353.136 5 -1 6.94
"17" "Redskins D/ST" "2.88-13.70" 23.68 2.22 1.18 0.66 0 0.34 "#19" 13.7 2.88 5.41 29.2681 5 0 353.136 5 -1 6.94
"3" "Patriots D/ST" "2.01-13.89" 19.75 2.08 1.07 0.54 0.04 0.26 "#13" 13.89 2.01 5.94 35.2836 5 0 332.7 4 0 6.94
"12" "Packers D/ST" "0.54-15.20" 24.66 2.02 1.32 0.86 0 0.26 "#20" 15.2 0.54 7.33 53.7289 5 0 358.232 5 -1 6.94
"8" "49ers D/ST" "2.78-14.04" 18.21 2.21 0.84 0.71 0.03 0.26 "#31" 14.04 2.78 5.63 31.6969 5 0 324.692 4 0 6.93
"3" "Jets D/ST" "3.81-12.03" 16.64 1.83 0.8 0.63 0.05 0.19 "#30" 12.03 3.81 4.11 16.8921 4 1 316.528 4 0 6.93
"9" "Vikings D/ST" "0.57-15.27" 24.55 2.65 1.22 0.85 0 0.19 "#13" 15.27 0.57 7.35 54.0225 5 0 357.66 5 -1 6.93
"2" "Dolphins D/ST" "2.62-12.70" 20.86 2.22 0.94 0.7 0.04 0.22 "#29" 12.7 2.62 5.04 25.4016 5 0 338.472 4 0 6.9
"10" "Patriots D/ST" "2.78-12.86" 19.7 2.74 0.68 0.84 0.08 0.16 "#26" 12.86 2.78 5.04 25.4016 5 0 332.44 4 0 6.9
"4" "Chiefs D/ST" "2.57-12.01" 22.06 2.69 0.93 0.64 0.02 0.17 "#17" 12.01 2.57 4.72 22.2784 5 0 344.712 4 0 6.89
