"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"14" "Brandon McManus" "5.90-12.44" 1.87 2.18 2.8 2.8 9.17 "#23" 0 0.31 8.24 12.44 5.9 3.27 10.6929
"2" "Cody Parkey" "4.70-13.40" 2.02 2.29 1.73 1.73 9.05 "#13" 0 0.27 8.24 13.4 4.7 4.35 18.9225
"8" "Harrison Butker" "5.00-13.70" 1.83 2.18 3.21 3.28 9.35 "#10" 0.0699999999999998 0.35 8.23 13.7 5 4.35 18.9225
"10" "Jason Myers" "3.97-14.61" 1.98 2.34 2.25 2.25 9.29 "#3" 0 0.36 8.21 14.61 3.97 5.32 28.3024
"9" "Jason Myers" "5.26-11.94" 1.79 1.92 2.23 2.25 8.6 "#28" 0.02 0.13 8.19 11.94 5.26 3.34 11.1556
"6" "Josh Lambo" "3.92-13.90" 1.71 1.94 2.84 2.88 8.91 "#12" 0.04 0.23 8.18 13.9 3.92 4.99 24.9001
"11" "Justin Tucker" "4.47-13.81" 2.01 2.33 2.44 2.44 9.14 "#20" 0 0.32 8.18 13.81 4.47 4.67 21.8089
"9" "Wil Lutz" "5.23-13.23" 1.81 2.12 2.76 2.88 9.23 "#17" 0.12 0.31 8.18 13.23 5.23 4 16
"10" "Stephen Gostkowski" "5.64-12.78" 2 2.34 2.48 2.51 9.21 "#21" 0.0299999999999998 0.34 8.16 12.78 5.64 3.57 12.7449
"12" "Brett Maher" "4.21-13.91" 1.83 2.12 2.58 2.62 9.06 "#7" 0.04 0.29 8.15 13.91 4.21 4.85 23.5225
"3" "Jake Elliott" "4.22-12.88" 1.57 1.69 3.19 3.23 8.55 "#26" 0.04 0.12 8.15 12.88 4.22 4.33 18.7489
"2" "Jake Elliott" "4.53-13.19" 1.81 2.03 2.75 2.8 8.86 "#29" 0.0499999999999998 0.22 8.15 13.19 4.53 4.33 18.7489
"12" "Mike Badgley" "4.47-13.75" 1.78 2.1 3.1 3.1 9.11 "#6" 0 0.32 8.15 13.75 4.47 4.64 21.5296
"5" "Randy Bullock" "4.43-14.09" 1.89 2.24 3.31 3.37 9.26 "#28" 0.0600000000000001 0.35 8.15 14.09 4.43 4.83 23.3289
"17" "Ryan Succop" "5.24-13.70" 1.99 2.42 2.75 2.79 9.47 "#26" 0.04 0.43 8.14 13.7 5.24 4.23 17.8929
"9" "Robbie Gould" "4.81-12.95" 1.91 2.15 2.17 2.2 8.88 "#30" 0.0300000000000002 0.24 8.13 12.95 4.81 4.07 16.5649
"9" "Sebastian Janikowski" "5.64-12.42" 1.81 2.11 2.49 2.49 9.03 "#15" 0 0.3 8.13 12.42 5.64 3.39 11.4921
"2" "Chris Boswell" "5.20-13.44" 1.91 2.27 2.63 2.75 9.32 "#27" 0.12 0.36 8.12 13.44 5.2 4.12 16.9744
"7" "Josh Lambo" "3.93-13.69" 1.85 2.04 2.64 2.76 8.81 "#11" 0.12 0.19 8.12 13.69 3.93 4.88 23.8144
"11" "Sebastian Janikowski" "4.35-13.89" 1.79 2.1 3.18 3.25 9.12 "#22" 0.0699999999999998 0.31 8.12 13.89 4.35 4.77 22.7529
"12" "Stephen Gostkowski" "5.17-13.23" 1.73 2.07 3.26 3.33 9.2 "#16" 0.0700000000000003 0.34 8.11 13.23 5.17 4.03 16.2409
"14" "Wil Lutz" "5.31-12.41" 1.73 1.97 3.05 3.09 8.86 "#29" 0.04 0.24 8.1 12.41 5.31 3.55 12.6025
