"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"16" "Patriots D/ST" "3.19-16.15" 19.6 2.64 1.26 0.72 0.06 0.28 "#32" 16.15 3.19 6.48 41.9904 5 0 331.92 4 0 8.4
"8" "Bears D/ST" "2.62-16.80" 18.33 2.54 1.24 0.92 0.04 0.24 "#22" 16.8 2.62 7.09 50.2681 5 0 325.316 4 0 8.38
"17" "Cowboys D/ST" "3.55-15.71" 18.1 2.7 1.24 0.92 0.02 0.22 "#29" 15.71 3.55 6.08 36.9664 5 0 324.12 4 0 8.38
"5" "49ers D/ST" "2.63-16.23" 19.99 2.52 0.84 0.96 0.04 0.36 "#31" 16.23 2.63 6.8 46.24 5 0 333.948 4 0 8.36
"8" "49ers D/ST" "2.63-16.23" 19.99 2.52 0.84 0.96 0.04 0.36 "#31" 16.23 2.63 6.8 46.24 5 0 333.948 4 0 8.36
"9" "Broncos D/ST" "2.40-16.50" 16.91 2.48 1.02 0.86 0.02 0.18 "#21" 16.5 2.4 7.05 49.7025 4 1 317.932 4 0 8.36
"2" "Jets D/ST" "4.33-14.41" 15.78 2.58 1.1 0.72 0.02 0.18 "#24" 14.41 4.33 5.04 25.4016 4 1 312.056 4 0 8.34
"9" "Vikings D/ST" "3.25-16.57" 18.24 2.5 1.18 0.94 0.02 0.26 "#30" 16.57 3.25 6.66 44.3556 5 0 324.848 4 0 8.34
"16" "Vikings D/ST" "3.25-16.57" 18.24 2.5 1.18 0.94 0.02 0.26 "#30" 16.57 3.25 6.66 44.3556 5 0 324.848 4 0 8.34
"7" "Dolphins D/ST" "1.69-17.05" 19.46 2.66 1.1 0.82 0 0.3 "#30" 17.05 1.69 7.68 58.9824 5 0 331.192 4 0 8.3
"10" "Packers D/ST" "2.64-16.50" 19.24 2.3 1 0.84 0.02 0.38 "#24" 16.5 2.64 6.93 48.0249 5 0 330.048 4 0 8.3
"12" "Panthers D/ST" "2.41-17.01" 18.7 2.8 1.08 0.68 0.06 0.3 "#27" 17.01 2.41 7.3 53.29 5 0 327.24 4 0 8.24
"2" "Redskins D/ST" "2.66-14.82" 21.72 2.12 1.36 0.7 0.04 0.32 "#17" 14.82 2.66 6.08 36.9664 5 0 342.944 4 0 8.24
"14" "Panthers D/ST" "3.14-15.06" 19.73 2.75 1.2 0.7 0.06 0.26 "#26" 15.06 3.14 5.96 35.5216 5 0 332.596 4 0 8.23
"10" "Falcons D/ST" "3.09-15.07" 16.81 2.14 1.1 0.7 0.02 0.24 "#26" 15.07 3.09 5.99 35.8801 4 1 317.412 4 0 8.22
"3" "Bears D/ST" "3.72-14.46" 16.01 2.44 1.09 0.49 0.02 0.26 "#31" 14.46 3.72 5.37 28.8369 4 1 313.252 4 0 8.2
"13" "Bengals D/ST" "3.21-15.37" 19.99 2.68 1.22 0.68 0.02 0.28 "#12" 15.37 3.21 6.08 36.9664 5 0 333.948 4 0 8.2
"5" "Bengals D/ST" "4.49-15.01" 18.47 2.78 1.24 0.58 0.04 0.28 "#24" 15.01 4.49 5.26 27.6676 5 0 326.044 4 0 8.18
"13" "Seahawks D/ST" "3.34-15.28" 20.16 2.5 1.42 0.68 0.02 0.24 "#25" 15.28 3.34 5.97 35.6409 5 0 334.832 4 0 8.18
"15" "Seahawks D/ST" "3.34-15.28" 20.16 2.5 1.42 0.68 0.02 0.24 "#25" 15.28 3.34 5.97 35.6409 5 0 334.832 4 0 8.18
"11" "Buccaneers D/ST" "3.09-13.93" 21.78 2.56 1.04 0.76 0.04 0.32 "#29" 13.93 3.09 5.42 29.3764 5 0 343.256 4 0 8.16
"2" "Vikings D/ST" "2.99-16.13" 18.67 2.35 1.34 0.8 0.04 0.24 "#18" 16.13 2.99 6.57 43.1649 5 0 327.084 4 0 8.15
"13" "Jets D/ST" "2.81-15.17" 17.36 2.34 1.06 0.86 0.06 0.14 "#28" 15.17 2.81 6.18 38.1924 4 1 320.272 4 0 8.14
"1" "Steelers D/ST" "3.28-16.28" 18.21 2.46 1.16 0.82 0.02 0.28 "#26" 16.28 3.28 6.5 42.25 5 0 324.692 4 0 8.14
"10" "Giants D/ST" "2.31-14.77" 22.91 2.1 1.06 0.66 0.08 0.4 "#25" 14.77 2.31 6.23 38.8129 5 0 349.132 4 0 8.1
"6" "Dolphins D/ST" "1.59-17.01" 19.63 2.4 1.18 0.82 0.06 0.26 "#19" 17.01 1.59 7.71 59.4441 5 0 332.076 4 0 8.08
"1" "Rams D/ST" "3.44-15.00" 20.04 2.72 1.18 0.8 0.04 0.22 "#20" 15 3.44 5.78 33.4084 5 0 334.208 4 0 8.08
"5" "Rams D/ST" "3.24-15.50" 19 2.28 1.24 1.02 0.04 0.2 "#27" 15.5 3.24 6.13 37.5769 5 0 328.8 4 0 8.08
"10" "Rams D/ST" "3.24-15.50" 19 2.28 1.24 1.02 0.04 0.2 "#27" 15.5 3.24 6.13 37.5769 5 0 328.8 4 0 8.08
"3" "Texans D/ST" "2.57-14.63" 22.06 2.56 0.95 0.79 0.04 0.32 "#29" 14.63 2.57 6.03 36.3609 5 0 344.712 4 0 8.04
"1" "Jets D/ST" "0.99-16.83" 21.84 2.3 1.09 0.8 0 0.32 "#30" 16.83 0.99 7.92 62.7264 5 0 343.568 4 0 8
"6" "Chargers D/ST" "3.41-13.87" 17.2 2.75 1.12 0.38 0.02 0.2 "#26" 13.87 3.41 5.23 27.3529 4 1 319.44 4 0 7.99
"1" "Saints D/ST" "2.89-14.39" 22.48 2.3 1.02 0.94 0.04 0.28 "#2" 14.39 2.89 5.75 33.0625 5 0 346.896 4 0 7.98
"11" "Seahawks D/ST" "2.66-15.26" 20.75 2.64 1.52 0.56 0.04 0.18 "#18" 15.26 2.66 6.3 39.69 5 0 337.9 4 0 7.96
"5" "Broncos D/ST" "2.39-16.77" 18.45 2.56 1 0.96 0.06 0.22 "#22" 16.77 2.39 7.19 51.6961 5 0 325.94 4 0 7.92
"15" "Bengals D/ST" "3.15-13.65" 21.73 2.08 1.2 0.72 0.02 0.32 "#20" 13.65 3.15 5.25 27.5625 5 0 342.996 4 0 7.88
"2" "Bears D/ST" "1.92-16.08" 19.47 2.38 1 0.78 0.06 0.3 "#27" 16.08 1.92 7.08 50.1264 5 0 331.244 4 0 7.86
"13" "Cardinals D/ST" "3.81-14.39" 19.9 3.08 1.12 0.72 0.06 0.16 "#18" 14.39 3.81 5.29 27.9841 5 0 333.48 4 0 7.84
"8" "Steelers D/ST" "3.42-15.98" 17.73 2.38 1.2 0.62 0 0.3 "#26" 15.98 3.42 6.28 39.4384 5 0 322.196 4 0 7.82
"4" "Eagles D/ST" "2.60-16.48" 17.51 2.4 1.24 0.9 0.02 0.18 "#28" 16.48 2.6 6.94 48.1636 5 0 321.052 4 0 7.8
"7" "Rams D/ST" "2.90-15.02" 19.53 2.39 1.18 0.86 0.06 0.2 "#25" 15.02 2.9 6.06 36.7236 5 0 331.556 4 0 7.79
"17" "Rams D/ST" "2.90-15.02" 19.53 2.39 1.18 0.86 0.06 0.2 "#25" 15.02 2.9 6.06 36.7236 5 0 331.556 4 0 7.79
"16" "Jets D/ST" "4.27-15.15" 17.59 2.69 1.1 0.68 0.04 0.24 "#18" 15.15 4.27 5.44 29.5936 5 0 321.468 4 0 7.77
"10" "49ers D/ST" "2.64-13.78" 21.99 2.59 0.82 0.8 0.06 0.3 "#29" 13.78 2.64 5.57 31.0249 5 0 344.348 4 0 7.75
"16" "Colts D/ST" "2.45-13.57" 22.59 2.34 0.94 0.82 0.04 0.3 "#29" 13.57 2.45 5.56 30.9136 5 0 347.468 4 0 7.74
"5" "Chargers D/ST" "2.88-14.74" 19.99 2.72 1.14 0.88 0 0.16 "#20" 14.74 2.88 5.93 35.1649 5 0 333.948 4 0 7.72
"10" "Chargers D/ST" "2.88-14.74" 19.99 2.72 1.14 0.88 0 0.16 "#20" 14.74 2.88 5.93 35.1649 5 0 333.948 4 0 7.72
"10" "Chiefs D/ST" "3.56-13.74" 20.94 2.52 1.16 0.88 0.02 0.18 "#31" 13.74 3.56 5.09 25.9081 5 0 338.888 4 0 7.72
"5" "Dolphins D/ST" "1.23-17.39" 18.11 2.33 1.24 0.74 0.04 0.22 "#5" 17.39 1.23 8.08 65.2864 5 0 324.172 4 0 7.69
