"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"Case Keenum" "QB" 12.53 17.08 12.85 20.22 14.57 13.76 14.78 18.93 20.81 NA 14.71 16.97 15.14 18.48 16.94 20.01 15.5
"Cethan Carter" "TE" 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Chad Henne" "QB" 0.46 0.54 0.58 0.39 0.45 0.53 0.5 0.42 0.49 0.46 0.39 NA 0.56 0.45 0.46 0.42 0.59
"Chad Williams" "WR" 1.73 1.88 1.94 1.62 1.8 1.66 1.88 1.87 NA 1.26 1.47 1.69 1.87 1.47 1.43 1.91 1.57
"Charles Clay" "TE" 4.25 4.32 4.02 4.18 4.26 4.22 5.2 4.77 4.16 4.48 NA 4.01 4.27 4.6 4.6 4.59 4.39
"Charone Peake" "WR" 0.6 0.67 0.73 0.44 0.62 0.69 0.49 0.49 0.73 0.61 NA 0.76 0.69 0.59 0.77 0.77 0.73
"Chase Daniel" "QB" 0.75 0.76 0.79 0.88 NA 0.79 0.88 0.83 0.81 0.84 0.82 0.79 0.75 0.77 0.85 0.79 0.78
"Chase Edmonds" "RB" 4.47 3.93 4.04 3.99 3.28 3.56 3.21 3.45 NA 3.89 3.99 3.97 3.32 3.83 3.76 4.4 3.77
"Chester Rogers" "WR" 3.47 2.78 2.6 3.22 2.63 2.44 2.44 3.36 NA 2.33 3.19 2.86 2.28 3.13 2.45 2.28 3.09
"Chris Carson" "RB" 7.79 7.98 6 4.36 5.77 6.58 NA 5.32 5.35 5.31 6.32 4.05 6.46 4.3 5.89 6.84 4.64
"Chris Conley" "WR" 2.15 2.51 3.21 3.8 4.06 3.48 4.38 3.99 3.2 3.46 3.42 NA 3.06 4.05 3.94 3.59 3.15
"Chris Godwin" "WR" 4.36 5.11 4.49 4.12 NA 3.86 3.93 4.94 4.78 4.43 4.36 3.89 4.98 4.68 3.72 4.03 4
"Chris Herndon" "TE" NA NA 2.91 0.45 0.54 0.66 0.44 0.51 0.56 0.49 NA 0.57 0.65 0.47 0.63 0.63 0.53
"Chris Hogan" "WR" 10.52 9.55 8.48 8.5 9.42 8.27 8.72 7.21 9.99 9.18 NA 7.83 8.3 8.14 6.35 7.5 8.12
"Chris Ivory" "RB" 4.03 4.69 6.79 4.06 4.92 4.06 3.86 4.28 4.43 4.46 NA 4.09 4.61 4.8 4.68 4.06 4.96
"Chris Manhertz" "TE" 0.37 0.39 2.96 NA 3.03 3.52 3.04 3.05 0.39 0.26 0.32 0.28 0.37 0.29 0.29 0.28 0.28
"Chris Moore" "WR" 0.29 0.39 0.49 0.5 0.59 0.59 0.52 0.57 0.51 NA 0.62 0.54 0.47 0.6 0.55 0.58 0.61
"Chris Thompson" "RB" 6.44 9.95 8.98 NA 8.09 7.67 8.65 7.82 8.65 8.74 8.72 8.15 5.65 8.25 5.42 7.5 5.86
"Christian Kirk" "WR" 3.94 4.56 4.59 4.39 4.71 3.98 4 4.83 NA 4.45 4.7 4.03 5.06 4.64 4.66 4.27 4.27
"Christian McCaffrey" "RB" 14.11 12.35 13.11 NA 13.97 14.24 11.63 12.6 14.88 13.89 12.95 13.68 13.94 11.84 14.3 14.32 13.4
"Christine Michael" "RB" 4.29 0 0.36 0.5 0.56 0.42 0.65 0.46 NA 0.41 0.44 0.45 0.39 0.47 0.58 0.53 0.42
"Cody Core" "WR" 0 0 0.39 0.46 0.46 0.46 0.45 0.51 NA 0.46 0.32 0.54 0.34 0.4 0.41 0.52 0.46
"Cody Kessler" "QB" 0.46 0.59 0.55 0.55 0.65 0.58 0.67 0.6 NA 0.65 0.59 0.59 0.69 0.52 0.61 0.58 0.63
"Cody Latimer" "WR" 1.86 2.68 3.52 3.23 3.21 3.18 3.13 2.58 NA 3.19 3.93 3.1 3.37 2.51 3.24 3.58 3.39
"Cole Beasley" "WR" 2.6 4.49 4.38 5.84 5.46 3.42 4.71 NA 5.56 4.09 5.52 4.84 5.74 4.16 5.2 5.59 5.14
"Cole Wick" "TE" 0.46 0.59 0.55 0.49 0.61 0.57 0.62 0.58 0.56 0.51 NA 0.51 0.49 0.52 0.51 0.53 0.59
"Colt McCoy" "QB" 0.68 0.78 0.83 NA 0.9 0.87 0.9 0.88 0.94 0.79 0.85 0.85 0.77 0.92 0.73 0.78 0.81
"Cooper Kupp" "WR" 7.59 5.72 6 7.91 7.15 7.56 7.34 6.98 6.79 7.37 7.66 NA 7.17 7.57 8.12 6.68 7.61
"Cooper Rush" "QB" 0.68 0.73 0.65 0.81 0.7 0.71 0.66 NA 0.72 0.67 0.73 0.71 0.78 0.71 0.76 0.81 0.75
"Cordarrelle Patterson" "WR" 1.95 1.36 0.91 0.66 0.47 0.49 0.36 0.43 0.49 0.41 NA 0.3 0.29 0.33 0.34 0.46 0.31
"Corey Clement" "RB" 4.8 5.73 10.4 3.99 5.9 5.34 5.14 5.23 NA 5.09 5.24 5.79 6.43 4.69 5.42 4.66 5.91
"Corey Davis" "WR" 7.61 8.25 8.03 7.32 7.59 7.66 8.59 NA 8 9.3 8.54 8.61 7.16 7.8 8.9 8.59 8.84
"Corey Grant" "RB" 3.22 5.83 7.51 2.17 2.47 2.35 2.63 1.62 NA 2.34 2.66 2.53 2.58 2.46 2.54 2.13 2.52
"Courtland Sutton" "WR" 3.08 4.48 2.41 3.18 2.4 2.51 2.42 3.05 3.09 NA 2.8 3.12 2.45 2.95 2.65 3.37 2.86
"Curtis Samuel" "WR" 0 0 0 NA 0 0 0 0 2.18 2.35 2.09 2.23 2.13 2.13 2.45 2.36 2.38
"D'Onta Foreman" "RB" 0 0 0 0 0 0 3.17 4.23 3.21 NA 4.42 4.35 4.76 4.48 4.04 3.04 3.35
"D.J. Chark" "WR" 1.58 1.44 0.62 0.6 0.66 0.59 0.63 0.52 NA 0.59 0.6 0.59 0.61 0.6 0.52 0.62 0.61
"D.J. Moore" "WR" 5.19 4.31 3.41 NA 4.23 4.27 3.86 4.15 4.11 3.84 4.1 2.87 3.9 4.26 4.02 3.95 3.89
"Dak Prescott" "QB" 15.04 15.59 13.81 17.68 17.94 13.31 15.55 NA 17.57 14.11 16.35 16.7 16.64 14.93 18.12 19.29 15.92
"Dallas Goedert" "TE" 2.47 3.02 3.15 2.27 2.09 2.64 2.27 2.1 NA 2.76 2.35 2.77 2.42 2.63 2.45 2.09 2.32
"Dalvin Cook" "RB" 13.38 12.7 0 14.82 8.95 11.17 10.56 15.11 14.26 NA 11.5 13.07 14.09 11.79 11.79 12.99 12.46
"Damien Williams" "RB" 0.33 0.4 0.35 0.38 0.34 0.34 0.32 0.41 0.3 0.4 0.34 NA 0.35 0.33 0.31 0.36 0.37
"Damiere Byrd" "WR" 0.61 0 0 NA 0.34 0.45 0.49 0.43 0.39 0.32 0.35 0.42 0.39 0.31 0.35 0.32 0.35
"Daniel Brown" "TE" 0 0.58 0.49 0.6 NA 0.49 0.59 0.46 0.52 0.65 0.49 0.61 0.6 0.49 0.67 0.67 0.48
"Danny Amendola" "WR" 5.16 4.27 4.64 4.77 4.5 4.7 4.97 4.66 4.35 4.81 NA 4.71 4.67 4.88 4.72 5.1 4.56
"Dante Pettis" "WR" NA 5.99 4.74 2.13 2.88 2.98 1.89 2.82 3.42 2.34 NA 3.35 2.34 2.8 2.4 2.48 1.82
"Darius Jennings" "WR" 0.65 0.7 0.45 0.56 0.52 0.44 0.57 NA 0.55 0.54 0.61 0.67 0.54 0.46 0.56 0.54 0.63
"Darrell Daniels" "TE" 0.27 0.21 2.87 2.88 2.95 0.31 NA 0.3 0.27 0.28 0.21 0.24 0.2 0.23 0.19 0.4 0.31
"Darren Fells" "TE" 1.48 1.33 2.14 2.71 1.59 2.21 2.94 2.37 2.81 2.46 NA 2.12 2.75 2.12 1.97 2.19 1.56
"Darren Sproles" "RB" 3.72 0 0 4.41 3.38 3.77 3.96 3.09 NA 4.14 3.79 4.07 3.87 3.82 3.62 4.53 3.62
"Darrius Heyward-Bey" "WR" 1.62 1.51 0.77 0.63 0.8 0.85 NA 1 0.61 0.69 0.62 0.82 0.75 0.81 0.76 0.75 0.88
