"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"5" "Ka'imi Fairbairn" "4.33-12.33" 1.75 1.95 2.16 2.2 8.33 "#9" 0.04 0.2 7.69 12.33 4.33 4 16
"9" "Brandon McManus" "3.88-13.18" 1.8 2.07 2.28 2.32 8.53 "#20" 0.04 0.27 7.68 13.18 3.88 4.65 21.6225
"8" "Sam Ficken" "5.05-12.39" 1.56 1.89 3.27 3.33 8.72 "#23" 0.0600000000000001 0.33 7.67 12.39 5.05 3.67 13.4689
"4" "Cody Parkey" "4.50-12.52" 1.79 2.07 2.28 2.28 8.51 "#27" 0 0.28 7.67 12.52 4.5 4.01 16.0801
"6" "Robbie Gould" "4.17-12.25" 1.67 1.86 2.45 2.45 8.21 "#23" 0 0.19 7.64 12.25 4.17 4.04 16.3216
"8" "Stephen Hauschka" "4.13-12.81" 1.83 2.1 2.2 2.22 8.47 "#18" 0.02 0.27 7.64 12.81 4.13 4.34 18.8356
"8" "Wil Lutz" "4.22-12.48" 1.63 1.84 2.78 2.86 8.35 "#7" 0.0800000000000001 0.21 7.64 12.48 4.22 4.13 17.0569
"6" "Stephen Hauschka" "4.38-12.58" 1.79 2.06 2.2 2.24 8.48 "#20" 0.04 0.27 7.63 12.58 4.38 4.1 16.81
"15" "Adam Vinatieri" "4.69-12.97" 2.04 2.43 1.75 1.79 8.83 "#9" 0.04 0.39 7.62 12.97 4.69 4.14 17.1396
"13" "Chris Boswell" "4.63-12.19" 1.73 1.98 2.61 2.65 8.41 "#22" 0.04 0.25 7.62 12.19 4.63 3.78 14.2884
"12" "Robbie Gould" "4.54-12.26" 1.72 1.98 2.41 2.41 8.4 "#27" 0 0.26 7.62 12.26 4.54 3.86 14.8996
"3" "Chandler Catanzaro" "4.22-13.18" 1.82 2.16 2.49 2.55 8.7 "#24" 0.0599999999999996 0.34 7.62 13.18 4.22 4.48 20.0704
"16" "Justin Tucker" "3.25-13.27" 1.67 1.87 2.29 2.33 8.26 "#22" 0.04 0.2 7.62 13.27 3.25 5.01 25.1001
"14" "Matt Bryant" "4.41-11.99" 1.57 1.75 2.84 2.9 8.2 "#23" 0.0600000000000001 0.18 7.6 11.99 4.41 3.79 14.3641
"15" "Robbie Gould" "2.90-13.50" 1.73 1.93 2.01 2.01 8.2 "#12" 0 0.2 7.6 13.5 2.9 5.3 28.09
"14" "Stephen Gostkowski" "4.33-12.83" 1.75 2.06 2.45 2.51 8.58 "#1" 0.0599999999999996 0.31 7.59 12.83 4.33 4.25 18.0625
"6" "Graham Gano" "4.43-12.53" 1.77 2.06 2.27 2.29 8.48 "#10" 0.02 0.29 7.59 12.53 4.43 4.05 16.4025
"7" "Randy Bullock" "4.00-12.72" 1.65 1.9 2.43 2.45 8.36 "#32" 0.02 0.25 7.59 12.72 4 4.36 19.0096
"12" "Stephen Gostkowski" "4.18-12.98" 1.69 2 2.6 2.66 8.58 "#2" 0.0600000000000001 0.31 7.59 12.98 4.18 4.4 19.36
"4" "Stephen Hauschka" "4.41-12.47" 1.81 2.08 2.14 2.18 8.44 "#23" 0.04 0.27 7.59 12.47 4.41 4.03 16.2409
"13" "Josh Lambo" "4.34-11.82" 1.36 1.51 3.47 3.52 8.08 "#13" 0.0499999999999998 0.15 7.58 11.82 4.34 3.74 13.9876
"16" "Caleb Sturgis" "5.05-11.97" 1.67 1.97 2.83 2.87 8.51 "#4" 0.04 0.3 7.57 11.97 5.05 3.46 11.9716
"4" "Adam Vinatieri" "4.83-12.75" 1.97 2.37 2.08 2.1 8.79 "#20" 0.02 0.4 7.57 12.75 4.83 3.96 15.6816
"7" "Josh Lambo" "4.30-11.50" 1.32 1.42 3.51 3.55 7.9 "#20" 0.04 0.0999999999999999 7.56 11.5 4.3 3.6 12.96
"12" "Matt Bryant" "4.00-13.04" 1.63 1.94 2.58 2.62 8.52 "#31" 0.04 0.31 7.55 13.04 4 4.52 20.4304
"9" "Brett Maher" "4.10-12.98" 1.71 2.03 2.63 2.69 8.54 "#17" 0.0600000000000001 0.32 7.52 12.98 4.1 4.44 19.7136
"15" "Sebastian Janikowski" "4.68-12.40" 1.77 2.08 2.55 2.64 8.54 "#19" 0.0900000000000003 0.31 7.52 12.4 4.68 3.86 14.8996
"7" "Wil Lutz" "4.27-12.45" 1.66 1.91 2.74 2.83 8.36 "#4" 0.0899999999999999 0.25 7.52 12.45 4.27 4.09 16.7281
"17" "Mike Nugent" "3.31-13.27" 1.76 2.02 2.16 2.16 8.29 "#32" 0 0.26 7.51 13.27 3.31 4.98 24.8004
"14" "Jake Elliott" "4.80-11.66" 1.6 1.83 2.89 2.93 8.23 "#9" 0.04 0.23 7.5 11.66 4.8 3.43 11.7649
"12" "Randy Bullock" "3.93-12.69" 1.71 1.98 2.16 2.16 8.31 "#5" 0 0.27 7.5 12.69 3.93 4.38 19.1844
"12" "Caleb Sturgis" "4.97-11.71" 1.58 1.85 2.88 2.91 8.34 "#30" 0.0300000000000002 0.27 7.5 11.71 4.97 3.37 11.3569
"11" "Ryan Succop" "3.45-13.23" 1.85 2.12 1.88 1.92 8.34 "#13" 0.04 0.27 7.49 13.23 3.45 4.89 23.9121
"2" "Caleb Sturgis" "5.17-11.59" 1.78 2.08 2.28 2.28 8.38 "#28" 0 0.3 7.48 11.59 5.17 3.21 10.3041
"9" "Caleb Sturgis" "5.01-11.59" 1.56 1.83 2.92 2.94 8.3 "#12" 0.02 0.27 7.47 11.59 5.01 3.29 10.8241
"11" "Adam Vinatieri" "4.61-12.51" 1.85 2.2 2.24 2.29 8.56 "#17" 0.0499999999999998 0.35 7.46 12.51 4.61 3.95 15.6025
"13" "Justin Tucker" "3.39-12.87" 1.64 1.85 2.57 2.62 8.13 "#26" 0.0500000000000003 0.21 7.45 12.87 3.39 4.74 22.4676
"9" "Dan Bailey" "5.12-12.80" 1.77 2.26 2.94 3 8.96 "#25" 0.0600000000000001 0.49 7.43 12.8 5.12 3.84 14.7456
"8" "Graham Gano" "4.14-12.04" 1.71 1.93 2.17 2.17 8.09 "#4" 0 0.22 7.43 12.04 4.14 3.95 15.6025
"12" "Chris Boswell" "4.13-12.25" 1.64 1.89 2.55 2.57 8.19 "#16" 0.02 0.25 7.42 12.25 4.13 4.06 16.4836
"1" "Ryan Succop" "4.40-12.46" 1.81 2.15 2.13 2.13 8.43 "#1" 0 0.34 7.41 12.46 4.4 4.03 16.2409
